iter	Passed	Remaining
0	144	144044
1	145	72734
2	147	48933
3	148	37022
4	150	29867
5	151	25105
6	153	21706
7	154	19145
8	155	17171
9	157	15588
10	158	14287
11	160	13201
12	161	12277
13	163	11487
14	164	10801
15	165	10193
16	166	9653
17	168	9169
18	169	8733
19	170	8333
20	171	7974
21	171	7644
22	172	7337
23	173	7056
24	174	6793
25	174	6549
26	175	6324
27	176	6114
28	176	5918
29	177	5733
30	177	5559
31	178	5397
32	178	5242
33	179	5095
34	179	4957
35	180	4827
36	180	4704
37	181	4588
38	181	4477
39	182	4372
40	182	4272
41	183	4178
42	183	4088
43	184	4003
44	184	3920
45	185	3841
46	185	3765
47	186	3692
48	186	3623
49	187	3556
50	187	3492
51	188	3430
52	188	3370
53	189	3312
54	189	3256
55	190	3202
56	190	3151
57	190	3100
58	191	3052
59	191	3005
60	192	2960
61	192	2916
62	193	2874
63	193	2834
64	194	2794
65	194	2755
66	195	2718
67	195	2682
68	196	2646
69	196	2612
70	197	2579
71	197	2547
72	198	2516
73	198	2486
74	199	2457
75	199	2428
76	200	2400
77	200	2373
78	201	2347
79	201	2322
80	202	2297
81	203	2273
82	203	2246
83	203	2223
84	204	2201
85	205	2179
86	205	2157
87	206	2136
88	206	2116
89	207	2096
90	207	2076
91	208	2057
92	209	2038
93	209	2020
94	210	2002
95	210	1984
96	211	1967
97	211	1950
98	212	1935
99	213	1919
100	214	1905
101	214	1890
102	215	1875
103	215	1860
104	216	1846
105	217	1831
106	217	1817
107	218	1803
108	219	1790
109	219	1776
110	220	1763
111	220	1750
112	221	1738
113	222	1725
114	222	1713
115	223	1701
116	223	1688
117	224	1677
118	225	1665
119	225	1654
120	226	1643
121	226	1632
122	227	1621
123	228	1611
124	228	1601
125	229	1590
126	229	1580
127	230	1570
128	231	1561
129	231	1551
130	232	1541
131	233	1532
132	233	1523
133	234	1513
134	234	1504
135	235	1495
136	236	1486
137	236	1477
138	237	1469
139	237	1460
140	238	1452
141	238	1442
142	239	1434
143	240	1426
144	240	1418
145	241	1411
146	242	1404
147	242	1396
148	243	1389
149	243	1382
150	244	1374
151	245	1367
152	245	1360
153	246	1353
154	247	1346
155	247	1340
156	248	1333
157	249	1327
158	249	1320
159	250	1314
160	250	1306
161	251	1300
162	251	1293
163	252	1287
164	253	1281
165	253	1275
166	254	1269
167	255	1263
168	255	1257
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1228
174	259	1223
175	260	1217
176	260	1211
177	261	1206
178	261	1201
179	262	1195
180	263	1191
181	263	1186
182	264	1181
183	265	1176
184	265	1171
185	266	1166
186	267	1160
187	267	1155
188	268	1150
189	268	1145
190	269	1141
191	269	1136
192	270	1131
193	271	1126
194	271	1122
195	272	1117
196	273	1113
197	273	1108
198	274	1104
199	275	1100
200	275	1095
201	276	1091
202	276	1087
203	277	1083
204	278	1079
205	278	1074
206	279	1070
207	280	1066
208	280	1062
209	281	1058
210	282	1054
211	282	1050
212	283	1046
213	283	1042
214	284	1038
215	285	1035
216	285	1031
217	286	1027
218	287	1023
219	287	1020
220	288	1016
221	289	1013
222	289	1009
223	290	1005
224	290	1002
225	291	998
226	292	995
227	292	991
228	293	988
229	294	984
230	294	981
231	295	978
232	296	974
233	296	971
234	297	968
235	298	964
236	298	961
237	299	957
238	299	954
239	300	951
240	301	948
241	301	945
242	302	942
243	303	938
244	303	935
245	304	932
246	304	929
247	305	926
248	306	923
249	306	920
250	307	917
251	308	914
252	308	911
253	309	908
254	309	905
255	310	902
256	311	899
257	311	896
258	312	893
259	312	890
260	313	887
261	314	884
262	314	881
263	315	878
264	315	876
265	316	873
266	317	870
267	317	867
268	318	864
269	318	862
270	319	859
271	320	857
272	321	855
273	321	852
274	322	849
275	322	847
276	323	844
277	324	842
278	324	839
279	325	837
280	326	834
281	326	831
282	327	829
283	327	826
284	328	824
285	329	821
286	329	819
287	330	816
288	331	814
289	331	811
290	332	809
291	332	807
292	333	804
293	334	802
294	334	800
295	335	797
296	336	795
297	336	793
298	337	791
299	338	788
300	338	786
301	339	784
302	340	782
303	340	779
304	341	777
305	341	775
306	342	773
307	343	770
308	343	768
309	344	766
310	345	764
311	345	762
312	346	759
313	346	757
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	350	745
320	351	743
321	351	741
322	352	738
323	353	736
324	353	734
325	354	732
326	355	730
327	355	728
328	356	726
329	357	724
330	357	722
331	358	720
332	358	718
333	359	716
334	360	715
335	360	713
336	361	711
337	362	709
338	362	707
339	363	705
340	364	703
341	364	702
342	365	700
343	366	698
344	366	696
345	367	694
346	368	692
347	368	691
348	369	689
349	370	687
350	370	685
351	371	683
352	371	681
353	372	679
354	372	677
355	373	675
356	374	673
357	374	672
358	375	670
359	376	668
360	376	666
361	377	665
362	378	663
363	378	661
364	379	659
365	379	658
366	380	656
367	381	654
368	381	652
369	382	650
370	382	649
371	383	647
372	384	645
373	384	644
374	385	642
375	386	640
376	386	639
377	387	637
378	388	635
379	388	634
380	389	632
381	390	631
382	390	629
383	391	627
384	391	626
385	392	624
386	393	622
387	393	621
388	394	619
389	395	617
390	395	616
391	396	614
392	396	613
393	397	611
394	398	609
395	398	608
396	399	606
397	400	605
398	400	603
399	401	602
400	402	600
401	402	599
402	403	597
403	404	596
404	404	594
405	405	592
406	405	591
407	406	589
408	407	588
409	407	586
410	408	585
411	409	583
412	409	582
413	410	580
414	410	579
415	411	577
416	411	576
417	412	574
418	413	573
419	413	571
420	414	570
421	415	568
422	415	567
423	416	565
424	417	564
425	417	562
426	418	561
427	418	559
428	419	558
429	420	556
430	420	555
431	421	554
432	422	552
433	422	551
434	423	549
435	423	548
436	424	546
437	425	545
438	425	544
439	426	542
440	427	541
441	427	539
442	428	538
443	428	537
444	429	535
445	430	534
446	430	533
447	431	531
448	432	530
449	432	529
450	433	527
451	434	526
452	435	525
453	435	524
454	436	522
455	437	521
456	437	520
457	438	518
458	439	517
459	439	516
460	440	514
461	440	513
462	441	512
463	442	510
464	442	509
465	443	508
466	444	506
467	444	505
468	445	504
469	446	503
470	446	501
471	447	500
472	448	499
473	448	498
474	449	496
475	450	495
476	450	494
477	451	493
478	452	491
479	452	490
480	453	489
481	454	487
482	454	486
483	455	485
484	455	484
485	456	482
486	457	481
487	457	480
488	458	479
489	459	478
490	460	476
491	460	475
492	461	474
493	462	473
494	463	472
495	463	471
496	464	470
497	465	469
498	466	467
499	466	466
500	467	465
501	468	464
502	468	463
503	469	461
504	470	460
505	470	459
506	471	458
507	472	457
508	473	456
509	473	455
510	474	454
511	475	453
512	476	451
513	476	450
514	477	449
515	477	448
516	478	447
517	479	445
518	479	444
519	480	443
520	481	442
521	481	441
522	482	440
523	483	438
524	484	437
525	484	436
526	485	435
527	486	434
528	486	433
529	487	432
530	488	431
531	488	430
532	489	428
533	490	427
